datetime,open,high,low,close,volume
2025-11-26 09:43:00,13618097.0,13618097.0,13617799.0,13617800.0,0.02446231
2025-11-26 09:44:00,13616800.0,13617700.0,13615566.0,13615977.0,0.11565736
2025-11-26 09:45:00,13616114.0,13617600.0,13615498.0,13615498.0,0.38561515
2025-11-26 09:46:00,13614600.0,13615497.0,13605678.0,13605678.0,1.35138651
2025-11-26 09:47:00,13605000.0,13607845.0,13596905.0,13607600.0,1.19995529
2025-11-26 09:48:00,13604871.0,13606799.0,13600586.0,13605899.0,0.99516058
2025-11-26 09:49:00,13605897.0,13605897.0,13594845.0,13600571.0,0.31847923
2025-11-26 09:50:00,13603250.0,13607724.0,13603236.0,13607654.0,0.23459427
2025-11-26 09:51:00,13607613.0,13607617.0,13603964.0,13607616.0,0.09759999999999999
2025-11-26 09:52:00,13607585.0,13609774.0,13602892.0,13602892.0,0.46601821
2025-11-26 09:53:00,13609188.0,13609188.0,13603965.0,13603965.0,0.0198
2025-11-26 09:54:00,13600636.0,13600773.0,13593180.0,13593800.0,0.49169490000000005
2025-11-26 09:55:00,13598472.0,13598472.0,13592271.0,13597284.0,0.68095083
2025-11-26 09:56:00,13597284.0,13600999.0,13597283.0,13599500.0,0.41221319
2025-11-26 09:57:00,13598900.0,13603146.0,13598900.0,13602400.0,0.2635
2025-11-26 09:58:00,13602400.0,13604187.0,13600411.0,13604187.0,0.3269
2025-11-26 09:59:00,13603799.0,13604784.0,13600000.0,13600100.0,0.41182931
2025-11-26 10:00:00,13604397.0,13610515.0,13604397.0,13610100.0,0.1761
2025-11-26 10:01:00,13610100.0,13618974.0,13610100.0,13618973.0,0.17108759
2025-11-26 10:02:00,13617974.0,13630302.0,13617974.0,13630302.0,0.155
2025-11-26 10:03:00,13630900.0,13630900.0,13623703.0,13629531.0,1.055
2025-11-26 10:04:00,13629531.0,13635775.0,13628503.0,13628503.0,0.59818843
2025-11-26 10:05:00,13628540.0,13628540.0,13612997.0,13617700.0,2.17210481
2025-11-26 10:06:00,13617497.0,13621479.0,13617497.0,13621420.0,0.13040791
2025-11-26 10:07:00,13613051.0,13620340.0,13613050.0,13618600.0,0.13898315
2025-11-26 10:08:00,13621097.0,13628092.0,13619799.0,13626200.0,0.28888721
2025-11-26 10:09:00,13625899.0,13631496.0,13622492.0,13622492.0,0.20007748
2025-11-26 10:10:00,13622710.0,13626354.0,13622710.0,13626284.0,0.048582310000000004
2025-11-26 10:11:00,13625100.0,13625100.0,13622200.0,13624700.0,0.11377888
2025-11-26 10:12:00,13624698.0,13625096.0,13610575.0,13610575.0,0.75370336
2025-11-26 10:13:00,13606200.0,13610575.0,13601135.0,13609718.0,0.23080149
2025-11-26 10:14:00,13613700.0,13615300.0,13613700.0,13613900.0,0.059562939999999995
2025-11-26 10:15:00,13609721.0,13611898.0,13609696.0,13609696.0,0.046475630000000004
2025-11-26 10:16:00,13609661.0,13609661.0,13609492.0,13609511.0,0.13594919
2025-11-26 10:17:00,13609512.0,13609512.0,13603438.0,13607700.0,0.56691895
